SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
513303,MODERN STEEL,XT,Q,17.50,17.50,17.50,17.50,17.50,16.80,1,1,17.00,
513307,SYNTHIKO FOI,XT,Q,36.90,36.90,36.90,36.90,36.90,38.80,1,50,1845.00,
513309,GOLKONDA    ,Z ,Q,3.04,3.04,3.04,3.04,3.04,3.04,1,4,12.00,
513335,METALFORGE  ,B ,Q,32.60,32.60,30.40,31.00,31.00,31.05,160,27057,866730.00,
513349,AJMERA      ,B ,Q,267.85,280.80,264.15,277.00,277.00,266.35,842,55407,14935195.00,
513353,COCHIN MIN. ,X ,Q,112.00,118.75,112.00,118.35,118.00,111.95,68,8167,959150.00,
513361,ISW LTD     ,X ,Q,3.51,3.68,3.16,3.59,3.50,3.51,562,1016300,3550064.00,
513369,RAJKUMAR FRG,XT,Q,38.00,42.00,38.00,42.00,42.00,40.00,6,310,11827.00,
513375,CARBORUNDUM ,A ,Q,361.95,365.00,356.00,361.05,363.80,361.10,84,3587,1288831.00,
513377,MINERAL&METL,A ,Q,64.95,65.30,63.35,64.05,64.05,64.65,1123,288106,18443560.00,
513397,VALLABH STEL,X ,Q,26.40,26.40,26.40,26.40,26.40,27.65,1,4,105.00,
513403,PM TELELINN ,X ,Q,1.97,1.97,1.97,1.97,1.97,1.88,1,100,197.00,
513414,SMPL        ,B ,Q,1.30,1.30,1.17,1.24,1.30,1.28,23,6898,8339.00,
513434,TATA METALIK,B ,Q,785.60,811.60,778.35,799.65,799.65,784.85,1468,39937,31999305.00,
513436,SHAH ALLOYS ,B ,Q,41.50,44.05,41.00,42.50,42.50,42.00,57,5532,237900.00,
513446,MONNETISPA  ,B ,Q,24.55,24.85,23.40,24.40,24.45,23.05,1297,499478,12059012.00,
513452,ELANGO INDUS,XT,Q,2.85,2.85,2.85,2.85,2.85,3.00,1,100,285.00,
513456,KANISHK ST. ,XT,Q,11.65,11.65,10.55,11.65,11.65,11.10,6,1050,11316.00,
513472,SIMPLEX CAST,X ,Q,159.90,159.90,144.50,154.15,159.00,148.50,49,5133,788879.00,
513488,SH.STEEL WIR,XT,Q,16.45,16.45,16.45,16.45,16.45,15.70,1,1,16.00,
513502,BARODA EXTR.,XT,Q,0.31,0.31,0.31,0.31,0.31,0.30,6,11025,3417.00,
513509,KALYANI FORG,T ,Q,300.00,300.00,296.00,298.00,298.00,307.85,3,13,3870.00,
513511,PANCH.STEEL ,X ,Q,44.00,46.80,44.00,46.00,46.00,45.35,3,123,5617.00,
